Year,State,Commodity,Criteria,Value
2009,IOWA,WINTER WHEAT,ACRES HARVESTED,22000
2008,IOWA,WINTER WHEAT,ACRES HARVESTED,30000
2007,IOWA,WINTER WHEAT,ACRES HARVESTED,28000
2006,IOWA,WINTER WHEAT,ACRES HARVESTED,18000
2005,IOWA,WINTER WHEAT,ACRES HARVESTED,15000
2004,IOWA,WINTER WHEAT,ACRES HARVESTED,24000
2003,IOWA,WINTER WHEAT,ACRES HARVESTED,21000
2002,IOWA,WINTER WHEAT,ACRES HARVESTED,16000
2001,IOWA,WINTER WHEAT,ACRES HARVESTED,18000
2000,IOWA,WINTER WHEAT,ACRES HARVESTED,18000
2015,KANSAS,WINTER WHEAT,ACRES HARVESTED,8700000
2015,KANSAS,WINTER WHEAT,ACRES HARVESTED,8800000
2015,KANSAS,WINTER WHEAT,ACRES HARVESTED,8800000
2015,KANSAS,WINTER WHEAT,ACRES HARVESTED,8800000
2015,KANSAS,WINTER WHEAT,ACRES HARVESTED,8500000
2014,KANSAS,WINTER WHEAT,ACRES HARVESTED,8800000
2014,KANSAS,WINTER WHEAT,ACRES HARVESTED,8400000
2014,KANSAS,WINTER WHEAT,ACRES HARVESTED,8400000
2014,KANSAS,WINTER WHEAT,ACRES HARVESTED,8400000
2014,KANSAS,WINTER WHEAT,ACRES HARVESTED,8400000
2013,KANSAS,WINTER WHEAT,ACRES HARVESTED,8450000
2013,KANSAS,WINTER WHEAT,ACRES HARVESTED,8200000
2013,KANSAS,WINTER WHEAT,ACRES HARVESTED,8200000
2013,KANSAS,WINTER WHEAT,ACRES HARVESTED,8100000
2013,KANSAS,WINTER WHEAT,ACRES HARVESTED,8100000
2012,KANSAS,WINTER WHEAT,ACRES HARVESTED,9100000
2012,KANSAS,WINTER WHEAT,ACRES HARVESTED,9000000
2012,KANSAS,WINTER WHEAT,ACRES HARVESTED,9000000
2012,KANSAS,WINTER WHEAT,ACRES HARVESTED,9000000
2012,KANSAS,WINTER WHEAT,ACRES HARVESTED,9000000
2011,KANSAS,WINTER WHEAT,ACRES HARVESTED,7950000
2010,KANSAS,WINTER WHEAT,ACRES HARVESTED,8000000
2009,KANSAS,WINTER WHEAT,ACRES HARVESTED,8950000
2008,KANSAS,WINTER WHEAT,ACRES HARVESTED,9000000
2007,KANSAS,WINTER WHEAT,ACRES HARVESTED,8600000
2006,KANSAS,WINTER WHEAT,ACRES HARVESTED,9100000
2005,KANSAS,WINTER WHEAT,ACRES HARVESTED,9500000
2004,KANSAS,WINTER WHEAT,ACRES HARVESTED,8500000
2003,KANSAS,WINTER WHEAT,ACRES HARVESTED,10000000
2002,KANSAS,WINTER WHEAT,ACRES HARVESTED,8200000
2001,KANSAS,WINTER WHEAT,ACRES HARVESTED,8200000
2000,KANSAS,WINTER WHEAT,ACRES HARVESTED,9400000
2015,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,440000
2015,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,450000
2015,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,450000
2015,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,450000
2015,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,470000
2014,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,510000
2014,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,530000
2014,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,530000
2014,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,530000
2014,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,500000
2013,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,610000
2013,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,580000
2013,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,580000
2013,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,560000
2013,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,560000
2012,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,440000
2012,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,470000
2012,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,470000
2012,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,470000
2012,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,450000
2011,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,440000
2010,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,195000
2009,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,365000
2008,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,440000
2007,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,250000
2006,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,320000
2005,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,300000
2004,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,380000
2003,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,350000
2002,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,330000
2001,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,360000
2000,KENTUCKY,WINTER WHEAT,ACRES HARVESTED,420000
2015,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,92000
2015,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,100000
2014,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,150000
2014,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,150000
2013,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,255000
2012,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,275000
2012,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,280000
2011,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,240000
2010,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,105000
2009,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,170000
2008,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,385000
2007,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,220000
2006,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,105000
2005,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,100000
2004,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,165000
2003,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,140000
2002,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,220000
2001,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,160000
2000,LOUISIANA,WINTER WHEAT,ACRES HARVESTED,185000
2015,MARYLAND,WINTER WHEAT,ACRES HARVESTED,270000
2015,MARYLAND,WINTER WHEAT,ACRES HARVESTED,260000
2015,MARYLAND,WINTER WHEAT,ACRES HARVESTED,260000
2015,MARYLAND,WINTER WHEAT,ACRES HARVESTED,260000
2015,MARYLAND,WINTER WHEAT,ACRES HARVESTED,240000
2014,MARYLAND,WINTER WHEAT,ACRES HARVESTED,250000
2014,MARYLAND,WINTER WHEAT,ACRES HARVESTED,255000
2014,MARYLAND,WINTER WHEAT,ACRES HARVESTED,255000
2014,MARYLAND,WINTER WHEAT,ACRES HARVESTED,255000
2014,MARYLAND,WINTER WHEAT,ACRES HARVESTED,255000
2013,MARYLAND,WINTER WHEAT,ACRES HARVESTED,260000
2013,MARYLAND,WINTER WHEAT,ACRES HARVESTED,250000
2013,MARYLAND,WINTER WHEAT,ACRES HARVESTED,250000
2013,MARYLAND,WINTER WHEAT,ACRES HARVESTED,245000
2013,MARYLAND,WINTER WHEAT,ACRES HARVESTED,245000
2012,MARYLAND,WINTER WHEAT,ACRES HARVESTED,210000
2012,MARYLAND,WINTER WHEAT,ACRES HARVESTED,210000
2012,MARYLAND,WINTER WHEAT,ACRES HARVESTED,210000
2012,MARYLAND,WINTER WHEAT,ACRES HARVESTED,210000
2012,MARYLAND,WINTER WHEAT,ACRES HARVESTED,180000
2011,MARYLAND,WINTER WHEAT,ACRES HARVESTED,180000
2010,MARYLAND,WINTER WHEAT,ACRES HARVESTED,130000
2009,MARYLAND,WINTER WHEAT,ACRES HARVESTED,170000
2008,MARYLAND,WINTER WHEAT,ACRES HARVESTED,180000
2007,MARYLAND,WINTER WHEAT,ACRES HARVESTED,160000
2006,MARYLAND,WINTER WHEAT,ACRES HARVESTED,125000
2005,MARYLAND,WINTER WHEAT,ACRES HARVESTED,140000
2004,MARYLAND,WINTER WHEAT,ACRES HARVESTED,145000
2003,MARYLAND,WINTER WHEAT,ACRES HARVESTED,145000
2002,MARYLAND,WINTER WHEAT,ACRES HARVESTED,170000
2001,MARYLAND,WINTER WHEAT,ACRES HARVESTED,175000
2000,MARYLAND,WINTER WHEAT,ACRES HARVESTED,200000
2015,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,475000
2015,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,500000
2015,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,500000
2015,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,500000
2015,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,510000
2014,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,470000
2014,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,510000
2014,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,510000
2014,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,510000
2014,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,510000
2013,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,590000
2013,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,590000
2013,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,590000
2013,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,550000
2013,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,550000
2012,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,535000
2012,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,540000
2012,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,540000
2012,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,540000
2012,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,540000
2011,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,675000
2010,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,495000
2009,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,580000
2008,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,710000
2007,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,530000
2006,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,650000
2005,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,590000
2004,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,640000
2003,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,660000
2002,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,440000
2001,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,510000
2000,MICHIGAN,WINTER WHEAT,ACRES HARVESTED,500000
2015,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,43000
2015,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,36000
2014,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,32000
2014,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,40000
2013,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,24000
2012,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,32000
2012,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,55000
2011,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,21000
2010,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,55000
2009,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,35000
2008,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,70000
2007,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,60000
2006,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,45000
2005,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,15000
2004,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,25000
2003,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,23000
2002,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,30000
2001,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,13000
2000,MINNESOTA,WINTER WHEAT,ACRES HARVESTED,19000
2015,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,120000
2015,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,145000
2015,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,145000
2015,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,145000
2015,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,155000
2014,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,215000
2014,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,200000
2014,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,200000
2014,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,200000
2014,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,200000
2013,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,385000
2013,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,380000
2013,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,380000
2013,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,375000
2013,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,375000
2012,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,320000
2012,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,430000
2012,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,430000
2012,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,430000
2012,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,450000
2011,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,310000
2010,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,90000
2009,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,150000
2008,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,500000
2007,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,330000
2006,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,73000
2005,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,65000
2004,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,135000
2003,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,125000
2002,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,180000
2001,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,225000
2000,MISSISSIPPI,WINTER WHEAT,ACRES HARVESTED,235000
2015,MISSOURI,WINTER WHEAT,ACRES HARVESTED,610000
2015,MISSOURI,WINTER WHEAT,ACRES HARVESTED,710000
2015,MISSOURI,WINTER WHEAT,ACRES HARVESTED,710000
2015,MISSOURI,WINTER WHEAT,ACRES HARVESTED,710000
2015,MISSOURI,WINTER WHEAT,ACRES HARVESTED,720000
2014,MISSOURI,WINTER WHEAT,ACRES HARVESTED,740000
2014,MISSOURI,WINTER WHEAT,ACRES HARVESTED,850000
2014,MISSOURI,WINTER WHEAT,ACRES HARVESTED,850000
2014,MISSOURI,WINTER WHEAT,ACRES HARVESTED,850000
2014,MISSOURI,WINTER WHEAT,ACRES HARVESTED,800000
2013,MISSOURI,WINTER WHEAT,ACRES HARVESTED,985000
2013,MISSOURI,WINTER WHEAT,ACRES HARVESTED,970000
2013,MISSOURI,WINTER WHEAT,ACRES HARVESTED,970000
2013,MISSOURI,WINTER WHEAT,ACRES HARVESTED,950000
2013,MISSOURI,WINTER WHEAT,ACRES HARVESTED,950000
2012,MISSOURI,WINTER WHEAT,ACRES HARVESTED,680000
2012,MISSOURI,WINTER WHEAT,ACRES HARVESTED,690000
2012,MISSOURI,WINTER WHEAT,ACRES HARVESTED,690000
2012,MISSOURI,WINTER WHEAT,ACRES HARVESTED,690000
2012,MISSOURI,WINTER WHEAT,ACRES HARVESTED,700000
2011,MISSOURI,WINTER WHEAT,ACRES HARVESTED,690000
2010,MISSOURI,WINTER WHEAT,ACRES HARVESTED,260000
2009,MISSOURI,WINTER WHEAT,ACRES HARVESTED,715000
2008,MISSOURI,WINTER WHEAT,ACRES HARVESTED,1190000
2007,MISSOURI,WINTER WHEAT,ACRES HARVESTED,880000
2006,MISSOURI,WINTER WHEAT,ACRES HARVESTED,910000
2005,MISSOURI,WINTER WHEAT,ACRES HARVESTED,540000
2004,MISSOURI,WINTER WHEAT,ACRES HARVESTED,930000
2003,MISSOURI,WINTER WHEAT,ACRES HARVESTED,870000
2002,MISSOURI,WINTER WHEAT,ACRES HARVESTED,760000
2001,MISSOURI,WINTER WHEAT,ACRES HARVESTED,760000
2000,MISSOURI,WINTER WHEAT,ACRES HARVESTED,950000
2015,MONTANA,WINTER WHEAT,ACRES HARVESTED,2220000
2015,MONTANA,WINTER WHEAT,ACRES HARVESTED,2300000
2015,MONTANA,WINTER WHEAT,ACRES HARVESTED,2300000
2015,MONTANA,WINTER WHEAT,ACRES HARVESTED,2300000
2015,MONTANA,WINTER WHEAT,ACRES HARVESTED,2300000
2014,MONTANA,WINTER WHEAT,ACRES HARVESTED,2240000
2014,MONTANA,WINTER WHEAT,ACRES HARVESTED,2250000
2014,MONTANA,WINTER WHEAT,ACRES HARVESTED,2250000
2014,MONTANA,WINTER WHEAT,ACRES HARVESTED,2250000
2014,MONTANA,WINTER WHEAT,ACRES HARVESTED,2350000
2013,MONTANA,WINTER WHEAT,ACRES HARVESTED,1900000
2013,MONTANA,WINTER WHEAT,ACRES HARVESTED,2150000
2013,MONTANA,WINTER WHEAT,ACRES HARVESTED,2150000
2013,MONTANA,WINTER WHEAT,ACRES HARVESTED,2040000
2013,MONTANA,WINTER WHEAT,ACRES HARVESTED,2040000
2012,MONTANA,WINTER WHEAT,ACRES HARVESTED,2170000
2012,MONTANA,WINTER WHEAT,ACRES HARVESTED,2140000
2012,MONTANA,WINTER WHEAT,ACRES HARVESTED,2140000
2012,MONTANA,WINTER WHEAT,ACRES HARVESTED,2140000
2012,MONTANA,WINTER WHEAT,ACRES HARVESTED,2120000
2011,MONTANA,WINTER WHEAT,ACRES HARVESTED,2190000
2010,MONTANA,WINTER WHEAT,ACRES HARVESTED,1900000
2009,MONTANA,WINTER WHEAT,ACRES HARVESTED,2420000
2008,MONTANA,WINTER WHEAT,ACRES HARVESTED,2420000
2007,MONTANA,WINTER WHEAT,ACRES HARVESTED,2190000
2006,MONTANA,WINTER WHEAT,ACRES HARVESTED,1920000
2005,MONTANA,WINTER WHEAT,ACRES HARVESTED,2100000
2004,MONTANA,WINTER WHEAT,ACRES HARVESTED,1630000
2003,MONTANA,WINTER WHEAT,ACRES HARVESTED,1820000
2002,MONTANA,WINTER WHEAT,ACRES HARVESTED,780000
2001,MONTANA,WINTER WHEAT,ACRES HARVESTED,870000
2000,MONTANA,WINTER WHEAT,ACRES HARVESTED,1350000
2015,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1210000
2015,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1300000
2015,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1300000
2015,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1300000
2015,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1460000
2014,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1450000
2014,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1400000
2014,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1400000
2014,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1400000
2014,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1420000
2013,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1140000
2013,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1160000
2013,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1160000
2013,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1300000
2013,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1300000
2012,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1300000
2012,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1320000
2012,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1320000
2012,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1320000
2012,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1270000
2011,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1480000
2010,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1490000
2009,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1610000
2008,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1670000
2007,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1960000
2006,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1700000
2005,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1760000
2004,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1650000
2003,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1820000
2002,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1520000
2001,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1600000
2000,NEBRASKA,WINTER WHEAT,ACRES HARVESTED,1650000
2015,NEVADA,WINTER WHEAT,ACRES HARVESTED,6000
2015,NEVADA,WINTER WHEAT,ACRES HARVESTED,8000
2014,NEVADA,WINTER WHEAT,ACRES HARVESTED,9000
2014,NEVADA,WINTER WHEAT,ACRES HARVESTED,9000
2013,NEVADA,WINTER WHEAT,ACRES HARVESTED,12000
2012,NEVADA,WINTER WHEAT,ACRES HARVESTED,11000
2012,NEVADA,WINTER WHEAT,ACRES HARVESTED,11000
2011,NEVADA,WINTER WHEAT,ACRES HARVESTED,9000
2010,NEVADA,WINTER WHEAT,ACRES HARVESTED,4000
2009,NEVADA,WINTER WHEAT,ACRES HARVESTED,7000
2008,NEVADA,WINTER WHEAT,ACRES HARVESTED,7000
2007,NEVADA,WINTER WHEAT,ACRES HARVESTED,12000
2006,NEVADA,WINTER WHEAT,ACRES HARVESTED,8000
2005,NEVADA,WINTER WHEAT,ACRES HARVESTED,5000
2004,NEVADA,WINTER WHEAT,ACRES HARVESTED,3000
2003,NEVADA,WINTER WHEAT,ACRES HARVESTED,3000
2002,NEVADA,WINTER WHEAT,ACRES HARVESTED,3000
2001,NEVADA,WINTER WHEAT,ACRES HARVESTED,2000
2000,NEVADA,WINTER WHEAT,ACRES HARVESTED,9000
2015,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,20000
2015,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,23000
2014,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,25000
2014,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,26000
2013,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,29000
2012,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,23000
2012,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,27000
2011,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,31000
2010,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,20000
2009,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,29000
2008,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,37000
2007,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,28000
2006,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,22000
2005,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,23000
2004,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,24000
2003,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,26000
2002,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,32000
2001,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,27000
2000,NEW JERSEY,WINTER WHEAT,ACRES HARVESTED,35000
2015,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,190000
2015,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,240000
2014,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,105000
2014,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,120000
2013,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,100000
2012,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,105000
2012,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,110000
2011,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,90000
2010,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,290000
2009,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,150000
2008,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,140000
2007,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,300000
2006,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,120000
2005,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,270000
2004,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,300000
2003,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,140000
2002,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,150000
2001,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,240000
2000,NEW MEXICO,WINTER WHEAT,ACRES HARVESTED,175000
2015,NEW YORK,WINTER WHEAT,ACRES HARVESTED,110000
2015,NEW YORK,WINTER WHEAT,ACRES HARVESTED,118000
2015,NEW YORK,WINTER WHEAT,ACRES HARVESTED,118000
2015,NEW YORK,WINTER WHEAT,ACRES HARVESTED,118000
2015,NEW YORK,WINTER WHEAT,ACRES HARVESTED,115000
2014,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2014,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2014,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2014,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2014,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2013,NEW YORK,WINTER WHEAT,ACRES HARVESTED,115000
2013,NEW YORK,WINTER WHEAT,ACRES HARVESTED,110000
2013,NEW YORK,WINTER WHEAT,ACRES HARVESTED,110000
2013,NEW YORK,WINTER WHEAT,ACRES HARVESTED,110000
2013,NEW YORK,WINTER WHEAT,ACRES HARVESTED,110000
2012,NEW YORK,WINTER WHEAT,ACRES HARVESTED,85000
2012,NEW YORK,WINTER WHEAT,ACRES HARVESTED,80000
2012,NEW YORK,WINTER WHEAT,ACRES HARVESTED,80000
2012,NEW YORK,WINTER WHEAT,ACRES HARVESTED,80000
2012,NEW YORK,WINTER WHEAT,ACRES HARVESTED,85000
2011,NEW YORK,WINTER WHEAT,ACRES HARVESTED,93000
2010,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2009,NEW YORK,WINTER WHEAT,ACRES HARVESTED,100000
2008,NEW YORK,WINTER WHEAT,ACRES HARVESTED,130000
2007,NEW YORK,WINTER WHEAT,ACRES HARVESTED,85000
2006,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2005,NEW YORK,WINTER WHEAT,ACRES HARVESTED,95000
2004,NEW YORK,WINTER WHEAT,ACRES HARVESTED,100000
2003,NEW YORK,WINTER WHEAT,ACRES HARVESTED,120000
2002,NEW YORK,WINTER WHEAT,ACRES HARVESTED,118000
2001,NEW YORK,WINTER WHEAT,ACRES HARVESTED,120000
2000,NEW YORK,WINTER WHEAT,ACRES HARVESTED,140000
2015,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,570000
2015,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,630000
2015,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,630000
2015,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,630000
2015,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,640000
2014,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,770000
2014,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,760000
2014,NORTH CAROLINA,WINTER WHEAT,ACRES HARVESTED,760000
